Data;dias_uteis;dias;dias_n_uteis;dias_uteis_ok
out/25;23;31;8;3
nov/25;20;30;10;-5
dez/25;22;31;9;-0,5
jan/26;21;31;10;-4
fev/26;19;28;9;-3,5
mar/26;22;31;9;-0,5
abr/26;20;30;10;-5
mai/26;20;31;11;-7,5
jun/26;21;30;9;-1,5
jul/26;23;31;8;3
ago/26;21;31;10;-4
set/26;21;30;9;-1,5
out/26;21;31;10;-4
nov/26;20;30;10;-5
dez/26;22;31;9;-0,5
jan/27;20;31;11;-7,5
fev/27;19;28;9;-3,5
mar/27;22;31;9;-0,5
abr/27;21;30;9;-1,5
mai/27;20;31;11;-7,5
jun/27;22;30;8;2
jul/27;22;31;9;-0,5
ago/27;22;31;9;-0,5
set/27;21;30;9;-1,5
out/27;20;31;11;-7,5
nov/27;20;30;10;-5
dez/27;23;31;8;3
jan/28;21;31;10;-4
fev/28;20;29;9;-2,5
mar/28;23;31;8;3
abr/28;18;30;12;-12
mai/28;22;31;9;-0,5
jun/28;21;30;9;-1,5
jul/28;21;31;10;-4
ago/28;23;31;8;3
set/28;20;30;10;-5
out/28;21;31;10;-4
nov/28;20;30;10;-5
dez/28;20;31;11;-7,5
jan/29;22;31;9;-0,5
fev/29;19;28;9;-3,5
mar/29;21;31;10;-4
abr/29;21;30;9;-1,5
mai/29;21;31;10;-4
jun/29;21;30;9;-1,5
jul/29;22;31;9;-0,5
ago/29;23;31;8;3
set/29;19;30;11;-8,5
out/29;22;31;9;-0,5
nov/29;20;30;10;-5
dez/29;20;31;11;-7,5
jan/30;22;31;9;-0,5
fev/30;20;28;8;0
mar/30;20;31;11;-7,5
abr/30;21;30;9;-1,5
mai/30;22;31;9;-0,5
jun/30;19;30;11;-8,5
jul/30;23;31;8;3
ago/30;22;31;9;-0,5
set/30;21;30;9;-1,5
out/30;23;31;8;3
nov/30;20;30;10;-5
dez/30;21;31;10;-4
